sales_order_ids,customer_rep_ids
71774,29503
71776,29910
71780,29890
71780,29778
71780,29600
71780,29967
71780,29696
71780,29674
71780,29682
71780,29861
71780,29973
71780,30024
71780,30069
71780,29733
71780,29883
71780,29921
71780,29879
71780,30055
71780,29824
71780,29990
71780,29934
71780,30008
71780,29943
71780,29813
71780,29571
71780,29750
71780,29582
71780,29510
71780,30080
71780,29728
71780,29889
71782,29617
71782,30095
71782,30003
71782,29736
71782,29873
71782,29632
71782,29695
71782,29530
71782,29918
71782,30112
71782,29973
71782,29775
71782,29955
71782,29890
71782,30036
71782,29948
71782,30016
71782,29922
71782,29705
71782,30027
71782,30058
71782,29617
71782,29950
71782,29740
71782,29719
71782,29822
71782,29705
71782,29840
71782,29699
71782,29783
71782,29910
71782,29843
71782,29496
71782,29952
71782,29646
71782,29871
71782,29953
71782,29857
71782,29870
71782,29824
71782,29713
71782,29728
71782,29919
71783,29784
71783,29742
71783,29772
71783,29565
71783,29517
71783,30022
71783,29673
71783,29897
71783,29638
71783,29953
71783,29918
71783,29492
71783,29834
71783,29941
71783,29848
71783,30032
71783,29862
71783,29714
71783,29728
71783,29854
71783,29881
71783,29671
71783,29740
71783,29810
71783,29848
71783,29975
71783,29623
71783,29889
71783,29527
71783,29608
71783,29525
71783,29769
71783,29873
71783,29889
71783,29765
71783,29900
71783,29588
71783,29910
71783,29822
71783,29932
71783,29881
71783,29871
71783,30080
71784,29930
71784,30110
71784,29655
71784,29783
71784,29789
71784,29554
71784,29728
71784,29524
71784,30083
71784,29766
71784,30003
71784,30046
71784,29824
71784,29806
71784,29881
71784,29988
71784,29688
71784,30052
71784,29702
71784,29948
71784,29926
71784,29717
71784,29782
71784,29611
71784,29788
71784,29852
71784,29641
71784,29981
71784,30113
71784,29776
71784,29737
71784,29885
71784,29524
71784,30083
71784,29580
71784,29611
71784,29662
71784,29517
71784,29815
71784,29877
71784,29587
71784,29558
71784,29855
71796,29932
71796,29858
71796,29866
71796,30021
71796,30004
71796,29867
71796,29557
71796,29898
71796,29925
71796,30052
71796,29806
71796,29873
71796,29771
71796,29505
71796,29964
71796,29698
71796,29902
71796,29557
71796,29855
71796,29730
71797,30042
71797,29824
71797,29579
71797,29699
71797,29492
71797,29956
71797,30035
71797,29587
71797,29787
71797,29983
71797,29590
71797,29861
71797,29587
71797,29612
71797,30003
71797,29805
71797,30083
71797,30055
71797,30056
71797,29557
71797,29787
71797,29546
71797,29988
71797,29898
71797,29568
71797,29727
71797,29889
71797,29943
71797,29719
71797,29929
71797,29915
71797,29939
71797,29860
71797,29939
71797,29654
71797,29565
71797,29522
71797,29861
71797,30023
71797,29511
71797,30005
71797,29653
71797,29741
71797,30115
71797,29819
71797,29952
71815,29939
71815,29991
71815,29638
71816,30067
71816,29931
71816,29962
71816,29522
71816,29861
71816,30036
71816,29919
71831,29505
71831,29705
71831,29900
71832,29737
71832,30036
71832,29722
71832,29696
71832,29598
71832,29847
71832,29702
71832,30045
71832,29863
71832,29637
71832,29932
71832,29952
71832,29596
71832,29766
71832,30074
71832,29922
71832,29559
71832,29851
71832,30012
71832,30035
71832,29991
71832,29942
71832,29826
71832,29568
71832,29794
71832,29673
71832,29606
71832,29582
71832,29854
71832,29603
71845,29536
71845,29997
71845,30072
71845,29769
71845,29576
71845,29698
71845,30090
71845,29818
71845,30100
71845,29611
71845,29527
71845,29871
71845,29684
71845,29922
71845,29792
71845,29515
71845,29641
71845,30064
71845,29854
71845,29964
71845,29902
71845,29771
71845,29919
71845,29527
71845,29496
71845,30010
71845,30067
71845,29521
71845,29865
71845,29565
71845,29722
71846,30116
71846,29908
71846,29492
71846,29753
71856,29924
71856,29876
71858,29645
71858,30115
71858,29720
71858,30118
71858,29553
71858,29932
71858,29596
71858,29935
71858,29769
71858,29616
71858,30055
71858,29620
71858,29546
71858,29956
71858,29663
71858,29683
71858,29643
71863,30056
71863,29734
71863,29926
71863,29974
71863,29674
71863,29919
71863,30113
71867,29599
71885,29907
71885,29908
71885,29617
71895,29660
71895,29680
71895,30008
71897,30107
71897,29492
71897,30076
71897,29605
71897,29643
71897,29997
71897,29952
71897,29840
71898,29588
71898,29862
71898,29740
71898,29651
71898,29550
71898,29920
71898,29955
71898,29622
71898,29922
71898,30047
71898,29573
71898,30028
71898,29800
71898,30039
71898,29601
71898,29861
71898,29601
71898,29843
71898,29591
71898,30117
71898,29879
71898,29793
71898,30048
71898,29587
71898,29964
71898,29703
71898,29568
71898,30090
71899,29522
71899,30028
71899,29935
71899,29957
71899,29528
71899,30064
71899,29579
71899,30033
71902,29891
71902,29742
71902,30030
71902,29956
71902,29881
71902,29486
71902,29740
71902,29662
71902,30100
71902,29924
71902,29800
71902,29532
71902,29596
71902,29931
71902,29975
71902,29990
71902,29742
71902,29998
71902,29873
71902,29969
71902,30028
71902,30046
71902,29959
71902,29677
71902,29651
71902,30074
71902,29952
71902,30000
71902,29598
71902,29635
71902,29937
71902,29720
71902,29822
71902,29654
71902,29727
71902,29822
71902,29831
71902,29919
71902,29646
71902,29938
71902,29866
71902,29494
71902,29612
71902,29499
71902,29885
71902,29655
71902,30087
71902,29891
71902,29935
71902,29932
71915,30018
71915,29901
71915,29868
71915,30003
71915,29864
71917,29527
71920,29978
71920,29698
71920,30087
71920,29649
71920,29728
71920,29699
71923,29620
71923,29616
71923,30045
71935,29750
71935,29722
71935,30037
71935,29606
71935,29557
71935,29889
71936,29688
71936,29816
71936,29560
71936,29939
71936,29982
71936,29938
71936,29782
71936,29981
71936,29608
71936,29809
71936,29689
71936,29918
71936,29959
71936,29650
71936,30063
71936,29680
71936,29639
71936,29598
71936,29892
71936,29840
71936,29942
71936,29522
71936,30022
71936,29982
71936,29763
71936,29902
71936,30110
71936,29629
71936,29990
71936,29673
71936,29824
71936,29686
71936,29639
71936,29913
71936,29943
71936,29523
71936,29659
71936,30032
71936,29881
71936,29942
71936,29785
71936,30029
71936,29699
71936,29591
71936,30107
71936,29521
71938,30053
71938,30045
71938,29719
71938,29885
71938,29596
71938,29666
71938,29982
71938,29646
71938,29644
71938,30016
71938,29535
71938,29774
71938,29988
71938,29569
71938,29608
71938,29614
71938,29750
71938,29682
71938,29553
71938,29655
71938,29871
71938,29784
71938,29541
71938,29774
71938,29928
71938,29508
71938,29796
71938,29722
71938,29605
71938,29938
71938,29522
71938,29816
71938,29830
71938,29911
71938,29897
71938,29935
71938,30072
71938,29824
71938,29860
71938,29847
71938,29644
71938,29585
71946,29728
